Company ID,Company Name,Total Jobs,Total CVs,Total Revenue
7502820,Riggs Companies,3,4,0
3847318,Eurocraft USA,0,0,0
3847951,RCC Associates,0,0,0
3847652,Environamics Inc.,0,0,0
3843462,EFCO,5,0,0
7926152,OpenAiRE,0,0,0
3846078,Anning-Johnson Company,0,0,0
3844375,Thames Glass,1,0,0
7922927,Associated Materials,14,0,0
7931405,GPLA Structural Engineers and Builders,0,0,0
7922732,Applied Digital,0,0,0
7922796,"Wieser Concrete Products, Inc.",0,0,0
7922707,Fibrebond,0,0,0
3844016,Ajay Glass Co.,0,0,0
7922137,"Precise Forms, Inc.",0,0,0
7922114,Coromatic AB,0,0,0
7928175,CEL Critical Power,0,0,0
7919953,Piller Power Systems,0,0,0
3843516,Ventana,17,0,114050
7923088,Alside,6,0,0
3482888,Armstrong World Industries,28,0,26522.64
7922703,Hanley Energy,4,2,0
7526500,Parker Hannifin,22,4,21600
7838032,Starline Power,0,0,0
7837477,Generac International,0,0,0
3850442,Starline,6,1,0
3846947,DC BLOX,0,0,0
3845278,Viwinco Windows,1,0,0
7803445,"Hadco Metal Trading Co.,LLC",0,0,0
3845320,Foundation Building Materials,2,2,0
7801819,Olympic Steel,2,0,0
3843461,Newmar Window Manufacturing Inc.,12,0,0
7922688,Compass Datacenters,0,0,0
7915995,HIMOINSA Southern Africa,0,0,0
3845004,Jansen AG,0,0,0
7785094,SAC Commercial Construction,0,0,0
3848872,CB Flooring,4,0,0
3846604,IB Roof Systems,1,0,0
3846137,AmesburyTruth,1,0,0
3843944,Arrow Glass and Mirror,6,0,0
7777547,ADCM Consultants,0,0,0
3848032,Interstate Drywall Corp,0,0,0
3846715,Pentair,6,4,0
3843591,Layton Construction,8,8,0
3911162,Rensselaer Polytechnic Institute,2,0,0
7750684,"Everlast Roofing, Inc.",0,0,0
7717308,"Everlast Roofing, Inc.",0,0,0
7922078,Data4,0,0,0
3846342,Harris Rebar,2,0,0
3843807,Architectural Glass & Aluminum,16,0,0
7747230,"Kingspan Insulated Panels CEME (Central Eastern Europe, Nordics, Türkiye, Central Asia, Middle East)",17,0,0
7916044,EAE USA,0,0,0
3846629,Northeast Precast,0,0,0
3842979,Permasteelisa,39,12,20900
3844660,SRS Distribution Inc.,2,0,0
7747205,Kingspan Insulated Panels CEME (Central-Eastern Europe and Middle East),0,0,0
3846500,Thorpe Group,27,0,217934
3846288,Cornell Iron Works,0,0,0
7737562,Oranjedak,0,0,0
7737552,LARIVIERE,0,0,0
7737551,ATTILA,0,0,0
7737527,Tectum Group,0,0,0
5216829,Tutor Perini Corporation,2,0,0
7795317,MD Doyne Construction,0,0,0
3846053,Kingspan a.s,23,0,40995.6
3843145,UnitiWall,21,0,94000
4996731,Wausau Tile,0,0,0
3843192,Vicwest,31,0,189937.37
7736356,Borgel Elementbau GmbH,0,0,0
3843010,Tetra Tech,13,0,0
3848506,Ohmstede Ltd.,0,0,0
3848972,Filtran,5,0,22444.49
3847831,Elmer W. Davis Inc. - Commercial Roofing,0,0,0
3846400,MOY - Flat Roof Waterproofing Systems,3,0,0
3846477,"Purafil, Inc",3,0,1450.65
3849015,BlueScope Coated Products,2,0,0
3848236,Q-NIS,1,0,0
3947352,Modus,1,0,0
3482928,USG,23,3,23000
7723782,Paragon - A Division of Interserve Construction Limited,0,0,0
4884610,Tilbury Douglas,0,0,0
7723665,Lazuli Wine Conseil,0,0,0
7723663,Noble Rot Restaurant & Wine Bar,0,0,0
3843289,COLORMINIUM (LONDON) LTD,20,0,15000
7619698,RestoreMasters Contracting LLC,0,0,0
7723850,Miller Construction Services Ltd,0,0,0
7723496,GTA Interior,0,0,0
7723546,ThirdWay Interiors,0,0,0
7723664,CRURATED,0,0,0
3845662,Siplast,2,0,0
3847181,Lumara,2,0,0
3845326,TSI Corporations,1,0,0
7717738,Metromont Corpo,0,0,0
3842722,Island Facades,8,0,0
5352117,HITT Contracting Inc.,11,0,0
3920602,Noorda BEC,3,0,0
7723900,shaw_design,0,0,0
7717256,Everlast Roofing Inc.,0,0,0
3876731,Central Roofing Company,0,0,0
7717225,Standard Commercial Roofing & Envelope Solutions,0,0,0
